"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1034","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","2506","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4010","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","2598","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","7925","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4016","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","1540","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4595","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","5201","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","12086","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3066","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","1581","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3513","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","7246","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4254","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","1851","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","8246","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","2258","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
