"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6953","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","6850","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4431","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","12810","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","10841","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4585","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","8774","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","5292","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","8811","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","7275","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4378","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4309","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","11819","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","1068","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4273","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","6876","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","8818","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-22","failed","2026-04-22","","","",""
"","2665","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-22","failed","2026-04-22","","","",""
"","19678","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","6928","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","10637","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","10063","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
