"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3595","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","3608","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","2227","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","1752","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","10789","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1117","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","12030","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","9822","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8892","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","17621","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5813","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","10806","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","25907","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8686","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4798","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","6190","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","2288","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","5623","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","3784","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
