"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","879","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","3386","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4898","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","5345","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","3297","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","3798","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","3226","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","7401","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","8648","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","7071","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","6821","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","5469","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4966","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","12573","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","4581","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","2695","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-22","failed","2026-04-22","","","",""
"","6653","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","17057","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","6925","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","5678","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","10830","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-22","passed","2026-04-22","","","",""
"","8747","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-22","failed","2026-04-22","","","",""
