"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","611","navegacion_tab_explorar_visible","Navegación Inferior — tvnPass iOS","2026-04-21","passed","2026-04-21","","","",""
"","3293","navegacion_tap_inicio_vuelve_al_home","Navegación Inferior — tvnPass iOS","2026-04-21","failed","2026-04-21","","","",""
"","643","navegacion_tab_buscar_visible","Navegación Inferior — tvnPass iOS","2026-04-21","passed","2026-04-21","","","",""
"","3706","navegacion_tap_explorar_muestra_contenido","Navegación Inferior — tvnPass iOS","2026-04-21","failed","2026-04-21","","","",""
"","3381","navegacion_tap_buscar_muestra_campo","Navegación Inferior — tvnPass iOS","2026-04-21","failed","2026-04-21","","","",""
"","561","navegacion_tab_inicio_visible","Navegación Inferior — tvnPass iOS","2026-04-21","passed","2026-04-21","","","",""
"","614","navegacion_tab_menu_visible","Navegación Inferior — tvnPass iOS","2026-04-21","passed","2026-04-21","","","",""
