"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8360","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","15608","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5249","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8020","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","13214","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4332","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","2496","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","12952","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8037","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","11815","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8965","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4270","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1928","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","14760","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","53864","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","14234","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4358","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1050","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","12108","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
