"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6266","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","688","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-21","broken","2026-04-21","","","",""
"","7648","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4675","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","5519","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","10661","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","7539","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","1751","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-21","failed","2026-04-21","","","",""
"","4752","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3616","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4690","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","8193","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","10182","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","16240","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","1704","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-21","failed","2026-04-21","","","",""
"","9187","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","612","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-21","broken","2026-04-21","","","",""
"","6036","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","17779","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
