"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3421","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3076","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3075","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","5350","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3257","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4896","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2831","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4454","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4750","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","5578","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","16434","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","6288","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4566","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4398","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","5109","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4469","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3931","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4725","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4485","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
