"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7781","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","9786","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5805","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8397","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5925","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4998","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5164","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","6479","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5918","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","12538","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1714","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","3279","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","3499","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1132","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","19750","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","2470","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
"","7336","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","4442","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","3332","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
