"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1423","navegacion_tab_inicio_visible","Navegación Inferior — tvnPass iOS","2026-04-22","failed","2026-04-22","","","",""
"","2705","navegacion_tab_explorar_visible","Navegación Inferior — tvnPass iOS","2026-04-22","passed","2026-04-22","","","",""
"","8498","navegacion_tap_buscar_muestra_campo","Navegación Inferior — tvnPass iOS","2026-04-22","failed","2026-04-22","","","",""
"","2561","navegacion_tab_buscar_visible","Navegación Inferior — tvnPass iOS","2026-04-22","passed","2026-04-22","","","",""
"","5678","navegacion_tap_inicio_vuelve_al_home","Navegación Inferior — tvnPass iOS","2026-04-22","broken","2026-04-22","","","",""
"","6740","navegacion_tap_explorar_muestra_contenido","Navegación Inferior — tvnPass iOS","2026-04-22","passed","2026-04-22","","","",""
"","2633","navegacion_tab_menu_visible","Navegación Inferior — tvnPass iOS","2026-04-22","passed","2026-04-22","","","",""
