"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6417","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","10493","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","7498","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3132","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","8073","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","5071","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","10178","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4817","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","8173","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4305","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","1137","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3290","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","2782","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","5546","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","4319","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3372","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","12099","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3275","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
"","3510","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-17","passed","2026-04-17","","","",""
