"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21461","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","10560","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","6255","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","15692","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","9532","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","6733","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","6115","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5696","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","11201","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","1328","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8557","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","19964","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8505","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","9125","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5994","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","12626","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","5518","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","8947","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-20","passed","2026-04-20","","","",""
"","2438","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-20","failed","2026-04-20","","","",""
