"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4184","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","8589","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","6445","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","1085","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3014","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2361","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4085","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3041","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2551","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","6430","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","8581","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2728","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4001","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","9843","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","9383","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2873","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2026","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2657","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","8450","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
