"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5338","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2053","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2127","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3926","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2423","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3910","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3870","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2808","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3749","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2659","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","16246","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","5857","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","2331","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","6839","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","6308","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3815","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3897","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","3873","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
"","4645","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-21","passed","2026-04-21","","","",""
